,category_code,p_code,p_group,kind_name_new,rank,unit,price
8411,AW_A00093,AW_A00093,붉은고추,붉은고추(10kg),상품,10kg,"88,700"
8412,AW_A00094,AW_A00094,붉은고추,붉은고추(10kg),중품,10kg,"79,700"
8413,AW_A00186,AW_A00186,피마늘,피마늘(한지)(10kg),상품,10kg,"90,000"
8414,AW_A00187,AW_A00187,피마늘,피마늘(한지)(10kg),중품,10kg,"85,000"
8415,AW_A00184,AW_A00184,피마늘,피마늘(난지)(대서)(10kg),상품,10kg,"60,000"
8416,AW_A00185,AW_A00185,피마늘,피마늘(난지)(대서)(10kg),중품,10kg,"55,000"
8417,AW_A00124,AW_A00124,양파,양파(15kg),상품,15kg,"12,800"
8418,AW_A00125,AW_A00125,양파,양파(15kg),중품,15kg,"11,800"
8419,AW_A00194,AW_A00194,양파,햇양파(15kg),상품,15kg,
8420,AW_A00195,AW_A00195,양파,햇양파(15kg),중품,15kg,
8421,AW_A00044,AW_A00044,파,대파(1kg),상품,1kg,"1,500"
8422,AW_A00045,AW_A00045,파,대파(1kg),중품,1kg,"1,100"
8423,AW_A00141,AW_A00141,파,쪽파(1kg),상품,1kg,"4,750"
8424,AW_A00142,AW_A00142,파,쪽파(1kg),중품,1kg,"4,250"
8425,AW_A00108,AW_A00108,생강,생강(국산)(10kg),상품,10kg,"33,000"
8426,AW_A00109,AW_A00109,생강,생강(국산)(10kg),중품,10kg,"23,000"
8427,AW_A00110,AW_A00110,생강,생강(수입)(10kg),중품,10kg,"45,000"
8428,AW_A00070,AW_A00070,미나리,미나리(7.5kg),상품,7.5kg,"30,000"
8429,AW_A00071,AW_A00071,미나리,미나리(7.5kg),중품,7.5kg,"20,000"
8430,AW_A00031,AW_A00031,깻잎,깻잎(2kg),상품,2kg,"25,700"
8431,AW_A00032,AW_A00032,깻잎,깻잎(2kg),중품,2kg,"21,700"
8432,AW_A00188,AW_A00188,피망,피망(청)(10kg),상품,10kg,"62,500"
8433,AW_A00189,AW_A00189,피망,피망(청)(10kg),중품,10kg,"58,000"
8434,AW_A00160,AW_A00160,파프리카,파프리카(5kg),상품,5kg,"22,700"
8435,AW_A00161,AW_A00161,파프리카,파프리카(5kg),중품,5kg,"19,700"
8436,AW_A00057,AW_A00057,멜론,멜론(8kg),상품,8kg,"41,600"
8437,AW_A00058,AW_A00058,멜론,멜론(8kg),중품,8kg,"36,600"
8438,AW_A00029,AW_A00029,깐마늘(국산),깐마늘(국산)(대서)(20kg),상품,20kg,"170,000"
8439,AW_A00030,AW_A00030,깐마늘(국산),깐마늘(국산)(대서)(20kg),중품,20kg,"160,000"
8440,AW_A00027,AW_A00027,깐마늘(국산),깐마늘(국산)(남도)(20kg),상품,20kg,"175,000"
8441,AW_A00028,AW_A00028,깐마늘(국산),깐마늘(국산)(남도)(20kg),중품,20kg,"165,000"
8442,AW_A00042,AW_A00042,방울토마토,대추방울토마토(1kg),상품,1kg,"5,100"
8443,AW_A00043,AW_A00043,방울토마토,대추방울토마토(1kg),중품,1kg,"4,600"
8444,AW_A00086,AW_A00086,배추,배추(월동)(10kg),상품,10kg,
8445,AW_A00087,AW_A00087,배추,배추(월동)(10kg),중품,10kg,
8446,AW_A00122,AW_A00122,양배추,양배추(8kg),상품,8kg,
8447,AW_A00123,AW_A00123,양배추,양배추(8kg),중품,8kg,
8448,AW_A00113,AW_A00113,시금치,시금치(4kg),상품,4kg,
8449,AW_A00114,AW_A00114,시금치,시금치(4kg),중품,4kg,
8450,AW_A00101,AW_A00101,상추,상추(적)(4kg),상품,4kg,
8451,AW_A00102,AW_A00102,상추,상추(적)(4kg),중품,4kg,
8452,AW_A00103,AW_A00103,상추,상추(청)(4kg),상품,4kg,
8453,AW_A00104,AW_A00104,상추,상추(청)(4kg),중품,4kg,
8454,AW_A00126,AW_A00126,얼갈이배추,얼갈이배추(4kg),상품,4kg,
8455,AW_A00127,AW_A00127,얼갈이배추,얼갈이배추(4kg),중품,4kg,
8456,AW_A00111,AW_A00111,수박,수박(1개),상품,1개,
8457,AW_A00112,AW_A00112,수박,수박(1개),중품,1개,
8458,AW_A00150,AW_A00150,참외,참외(10kg),상품,10kg,
8459,AW_A00151,AW_A00151,참외,참외(10kg),중품,10kg,
8460,AW_A00136,AW_A00136,오이,오이(다다기계통)(100개),상품,100개,
8461,AW_A00137,AW_A00137,오이,오이(다다기계통)(100개),중품,100개,
8462,AW_A00138,AW_A00138,오이,오이(취청)(50개),상품,50개,
8463,AW_A00139,AW_A00139,오이,오이(취청)(50개),중품,50개,
8464,AW_A00120,AW_A00120,호박,애호박(20개),상품,20개,
8465,AW_A00121,AW_A00121,호박,애호박(20개),중품,20개,
8466,AW_A00196,AW_A00196,호박,호박(쥬키니)(10kg),상품,10kg,
8467,AW_A00197,AW_A00197,호박,호박(쥬키니)(10kg),중품,10kg,
8468,AW_A00156,AW_A00156,토마토,토마토(5kg),상품,5kg,
8469,AW_A00157,AW_A00157,토마토,토마토(5kg),중품,5kg,
8470,AW_A00048,AW_A00048,딸기,딸기(2kg),상품,2kg,
8471,AW_A00049,AW_A00049,딸기,딸기(2kg),중품,2kg,
8472,AW_A00066,AW_A00066,무,무(월동)(20kg),상품,20kg,
8473,AW_A00067,AW_A00067,무,무(월동)(20kg),중품,20kg,
8474,AW_A00039,AW_A00039,당근,당근(무세척)(20kg),상품,20kg,
8475,AW_A00040,AW_A00040,당근,당근(무세척)(20kg),중품,20kg,
8476,AW_A00041,AW_A00041,당근,당근(세척)(수입),중품,10kg,
8477,AW_A00128,AW_A00128,열무,열무(4kg),상품,4kg,
8478,AW_A00129,AW_A00129,열무,열무(4kg),중품,4kg,
8479,AW_A00016,AW_A00016,건고추,건고추(화건)(30kg),상품,30kg,
8480,AW_A00017,AW_A00017,건고추,건고추(화건)(30kg),중품,30kg,
8481,AW_A00010,AW_A00010,건고추,건고추(양건)(30kg),상품,30kg,
8482,AW_A00011,AW_A00011,건고추,건고추(양건)(30kg),중품,30kg,
8483,AW_A00174,AW_A00174,풋고추,풋고추(10kg),상품,10kg,
8484,AW_A00175,AW_A00175,풋고추,풋고추(10kg),중품,10kg,
8485,AW_A00176,AW_A00176,풋고추,풋고추(꽈리고추)(4kg),상품,4kg,
8486,AW_A00177,AW_A00177,풋고추,풋고추(꽈리고추)(4kg),중품,4kg,
8487,AW_A00180,AW_A00180,풋고추,풋고추(청양고추)(10kg),상품,10kg,
