,item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2
115,바나나,418,수입(13kg),02,중품,05,13kg,2022-07-01,"23,000",1일전 (06/30),"25,600"
116,참다래,419,그린 뉴질랜드(10kg),02,상품,04,10kg,2022-07-01,"44,600",1일전 (06/30),"44,600"
117,참다래,419,그린 뉴질랜드(10kg),02,중품,05,10kg,2022-07-01,"39,600",1일전 (06/30),"39,600"
118,파인애플,420,수입(12kg),02,상품,04,12kg,2022-07-01,"32,000",1일전 (06/30),"32,000"
119,파인애플,420,수입(12kg),02,중품,05,12kg,2022-07-01,"27,000",1일전 (06/30),"27,000"
120,오렌지,421,네이블 미국(18kg),03,상품,04,18kg,2022-07-01,-,1일전 (06/30),-
121,오렌지,421,네이블 미국(18kg),03,중품,05,18kg,2022-07-01,-,1일전 (06/30),-
122,오렌지,421,발렌시아 미국(18kg),04,상품,04,18kg,2022-07-01,"55,000",1일전 (06/30),"55,000"
123,오렌지,421,발렌시아 미국(18kg),04,중품,05,18kg,2022-07-01,"50,000",1일전 (06/30),"50,000"
124,레몬,424,수입(17kg),00,상품,04,17kg,2022-07-01,"74,000",1일전 (06/30),"74,000"
125,레몬,424,수입(17kg),00,중품,05,17kg,2022-07-01,"69,000",1일전 (06/30),"69,000"
126,체리,425,수입(5kg),00,상품,04,5kg,2022-07-01,"120,000",1일전 (06/30),"120,000"
127,체리,425,수입(5kg),00,중품,05,5kg,2022-07-01,"110,000",1일전 (06/30),"110,000"
128,망고,428,수입(5kg),00,상품,04,5kg,2022-07-01,"52,600",1일전 (06/30),"52,600"
129,망고,428,수입(5kg),00,중품,05,5kg,2022-07-01,"47,600",1일전 (06/30),"47,600"
130,고등어,611,생선(10kg),01,중품,05,10kg,2022-07-01,"53,600",1일전 (06/30),"53,600"
131,고등어,611,냉동(10kg),02,중품,05,10kg,2022-07-01,"61,600",1일전 (06/30),"61,600"
132,고등어,611,냉동(수입)(20kg),04,중품,05,20kg,2022-07-01,"78,600",1일전 (06/30),"78,600"
133,갈치,613,생선(1kg),01,중품,05,1kg,2022-07-01,-,1일전 (06/30),"17,000"
134,갈치,613,냉동(1kg),02,중품,05,1kg,2022-07-01,"14,300",1일전 (06/30),"14,300"
135,명태,615,냉동(20kg),02,중품,05,20kg,2022-07-01,"55,000",1일전 (06/30),"55,000"
136,물오징어,619,생선(1kg),01,중품,05,1kg,2022-07-01,"12,000",1일전 (06/30),"12,000"
137,물오징어,619,냉동(1kg),02,중품,05,1kg,2022-07-01,"10,000",1일전 (06/30),"10,000"
138,건멸치,638,건멸치(1.5kg),00,중품,05,1.5kg,2022-07-01,"15,600",1일전 (06/30),"15,600"
139,북어,639,황태(10마리),01,중품,05,10마리,2022-07-01,"50,000",1일전 (06/30),"50,000"
140,건오징어,640,건오징어(20마리),00,중품,05,20마리,2022-07-01,"81,600",1일전 (06/30),"81,600"
141,김,641,마른김(1속),00,중품,05,1속,2022-07-01,"6,500",1일전 (06/30),"6,500"
142,건미역,642,건미역(1kg),00,상품,04,1kg,2022-07-01,"13,000",1일전 (06/30),"13,000"
143,전복,653,전복(1kg),00,중품,05,1kg,2022-07-01,"33,600",1일전 (06/30),"33,600"
144,새우,654,흰다리(수입)(2kg),01,중품,05,2kg,2022-07-01,"24,300",1일전 (06/30),"24,300"
